2022-09-08 15:29:12  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:28:59, started = 33.370000, vol = 416672
2022-09-08 15:29:14  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:28:59, started = 33.370000, vol = 416672
2022-09-08 15:29:16  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:28:59, started = 33.370000, vol = 416672
2022-09-08 15:29:18  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:28:59, started = 33.370000, vol = 416672
2022-09-08 15:29:20  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:28:59, started = 33.370000, vol = 416672
2022-09-08 15:29:23  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:28:59, started = 33.370000, vol = 416672
2022-09-08 15:29:25  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:28:59, started = 33.370000, vol = 416672
2022-09-08 15:29:27  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:28:59, started = 33.370000, vol = 416672
2022-09-08 15:29:29  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:28:59, started = 33.370000, vol = 416672
2022-09-08 15:29:32  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:29:29, started = 33.370000, vol = 416672
2022-09-08 15:29:34  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:29:29, started = 33.370000, vol = 416672
2022-09-08 15:29:36  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:29:29, started = 33.370000, vol = 416672
2022-09-08 15:29:38  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:29:29, started = 33.370000, vol = 416672
2022-09-08 15:29:40  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:29:29, started = 33.370000, vol = 416672
2022-09-08 15:29:43  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:29:29, started = 33.370000, vol = 416672
2022-09-08 15:29:45  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:29:29, started = 33.370000, vol = 416672
2022-09-08 15:29:47  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:29:29, started = 33.370000, vol = 416672
2022-09-08 15:29:49  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:29:29, started = 33.370000, vol = 416672
